slice,nms_iou,conf,n_frames,n_gt,tp,fp,fn,precision,recall,f1,fp_per_frame
day,0.5,0.05,11060,55795,33519,46854,22276,0.417043,0.600753,0.492318,4.23635
day,0.5,0.1,11060,55795,31826,25497,23969,0.555205,0.57041,0.562704,2.30533
day,0.5,0.15,11060,55795,30329,15988,25466,0.654814,0.543579,0.594034,1.44557
day,0.5,0.2,11060,55795,28851,10657,26944,0.730257,0.517089,0.605458,0.963562
day,0.5,0.25,11060,55795,27468,7253,28327,0.791106,0.492302,0.60692,0.655787
day,0.5,0.3,11060,55795,26103,5137,29692,0.835563,0.467838,0.599828,0.464467
day,0.5,0.35,11060,55795,24709,3583,31086,0.873356,0.442853,0.587701,0.32396
day,0.5,0.4,11060,55795,23302,2519,32493,0.902444,0.417636,0.571015,0.227758
day,0.5,0.45,11060,55795,21792,1720,34003,0.926846,0.390573,0.549561,0.155515
day,0.5,0.5,11060,55795,20215,1161,35580,0.945687,0.362308,0.523901,0.104973
day,0.5,0.55,11060,55795,18440,786,37355,0.959118,0.330496,0.491596,0.0710669
day,0.5,0.6,11060,55795,16515,501,39280,0.970557,0.295994,0.45364,0.0452984
day,0.5,0.65,11060,55795,14315,326,41480,0.977734,0.256564,0.406468,0.0294756
day,0.5,0.7,11060,55795,11580,194,44215,0.983523,0.207545,0.342761,0.0175407
day,0.5,0.75,11060,55795,7951,84,47844,0.989546,0.142504,0.249131,0.00759494
day,0.5,0.8,11060,55795,4143,43,51652,0.989728,0.074254,0.138144,0.00388788
day,0.5,0.85,11060,55795,1644,18,54151,0.98917,0.029465,0.0572254,0.00162749
day,0.5,0.9,11060,55795,293,0,55502,1,0.00525137,0.0104479,0
day,0.5,0.95,11060,55795,1,0,55794,1,1.79228e-05,3.58449e-05,0
day,0.5,0.99,11060,55795,0,0,55795,,0,0,0
day,0.6,0.05,11060,55795,34168,57076,21627,0.374468,0.612385,0.464747,5.16058
day,0.6,0.1,11060,55795,32352,30827,23443,0.512069,0.579837,0.54385,2.78725
day,0.6,0.15,11060,55795,30731,18995,25064,0.618007,0.550784,0.582462,1.71745
day,0.6,0.2,11060,55795,29161,12384,26634,0.701914,0.522645,0.599158,1.11971
