slice,nms_iou,conf,n_frames,n_gt,tp,fp,fn,precision,recall,f1,fp_per_frame
ir,0.5,0.05,6482,19734,17200,10706,2534,0.616355,0.871592,0.722082,1.65165
ir,0.5,0.1,6482,19734,16815,6631,2919,0.71718,0.852083,0.778833,1.02299
ir,0.5,0.15,6482,19734,16510,4872,3224,0.772145,0.836627,0.803094,0.75162
ir,0.5,0.2,6482,19734,16214,3814,3520,0.809567,0.821628,0.815553,0.588399
ir,0.5,0.25,6482,19734,15905,3053,3829,0.83896,0.805969,0.822134,0.470997
ir,0.5,0.3,6482,19734,15589,2465,4145,0.863465,0.789956,0.825077,0.380284
ir,0.5,0.35,6482,19734,15175,2026,4559,0.882216,0.768977,0.821714,0.312558
ir,0.5,0.4,6482,19734,14713,1603,5021,0.901753,0.745566,0.816255,0.2473
ir,0.5,0.45,6482,19734,14164,1250,5570,0.918905,0.717746,0.805963,0.192842
ir,0.5,0.5,6482,19734,13464,982,6270,0.932023,0.682274,0.787829,0.151496
ir,0.5,0.55,6482,19734,12608,752,7126,0.943713,0.638897,0.761951,0.116014
ir,0.5,0.6,6482,19734,11456,545,8278,0.954587,0.580521,0.721979,0.084079
ir,0.5,0.65,6482,19734,9888,361,9846,0.964777,0.501064,0.659574,0.0556927
ir,0.5,0.7,6482,19734,8047,201,11687,0.97563,0.407773,0.575155,0.0310089
ir,0.5,0.75,6482,19734,6191,109,13543,0.982698,0.313723,0.475609,0.0168158
ir,0.5,0.8,6482,19734,3807,37,15927,0.990375,0.192916,0.322928,0.00570811
ir,0.5,0.85,6482,19734,804,1,18930,0.998758,0.0407419,0.0782901,0.000154273
ir,0.5,0.9,6482,19734,14,0,19720,1,0.000709435,0.00141787,0
ir,0.5,0.95,6482,19734,0,0,19734,,0,0,0
ir,0.5,0.99,6482,19734,0,0,19734,,0,0,0
ir,0.6,0.05,6482,19734,17334,13231,2400,0.567119,0.878382,0.689238,2.04119
ir,0.6,0.1,6482,19734,16930,7905,2804,0.681699,0.85791,0.759721,1.21953
ir,0.6,0.15,6482,19734,16616,5659,3118,0.745948,0.841999,0.791069,0.873033
ir,0.6,0.2,6482,19734,16299,4271,3435,0.792368,0.825935,0.808803,0.658902
ir,0.6,0.25,6482,19734,15979,3351,3755,0.826643,0.809719,0.818093,0.51697
ir,0.6,0.3,6482,19734,15648,2654,4086,0.854989,0.792946,0.822799,0.409442
ir,0.6,0.35,6482,19734,15218,2138,4516,0.876815,0.771156,0.820599,0.329836
ir,0.6,0.4,6482,19734,14747,1673,4987,0.898112,0.747289,0.815788,0.258099
ir,0.6,0.45,6482,19734,14187,1287,5547,0.916828,0.718912,0.805896,0.19855
ir,0.6,0.5,6482,19734,13474,1001,6260,0.930846,0.682781,0.787746,0.154428
ir,0.6,0.55,6482,19734,12613,755,7121,0.943522,0.639151,0.762069,0.116476
ir,0.6,0.6,6482,19734,11457,548,8277,0.954352,0.580572,0.721951,0.0845418
ir,0.6,0.65,6482,19734,9889,363,9845,0.964592,0.501115,0.659574,0.0560012
ir,0.6,0.7,6482,19734,8047,201,11687,0.97563,0.407773,0.575155,0.0310089
ir,0.6,0.75,6482,19734,6191,109,13543,0.982698,0.313723,0.475609,0.0168158
ir,0.6,0.8,6482,19734,3807,37,15927,0.990375,0.192916,0.322928,0.00570811
ir,0.6,0.85,6482,19734,804,1,18930,0.998758,0.0407419,0.0782901,0.000154273
ir,0.6,0.9,6482,19734,14,0,19720,1,0.000709435,0.00141787,0
ir,0.6,0.95,6482,19734,0,0,19734,,0,0,0
ir,0.6,0.99,6482,19734,0,0,19734,,0,0,0
ir,0.7,0.05,6482,19734,17432,18550,2302,0.484464,0.883349,0.625745,2.86177
ir,0.7,0.1,6482,19734,17017,10796,2717,0.611836,0.862319,0.715797,1.66554
ir,0.7,0.15,6482,19734,16683,7460,3051,0.691008,0.845394,0.760444,1.15088
ir,0.7,0.2,6482,19734,16359,5463,3375,0.749656,0.828975,0.787323,0.842795
ir,0.7,0.25,6482,19734,16034,4143,3700,0.794667,0.812506,0.803488,0.639155
ir,0.7,0.3,6482,19734,15694,3188,4040,0.831162,0.795277,0.812824,0.491824
ir,0.7,0.35,6482,19734,15253,2471,4481,0.860585,0.77293,0.814405,0.38121
ir,0.7,0.4,6482,19734,14774,1869,4960,0.887701,0.748657,0.812271,0.288337
ir,0.7,0.45,6482,19734,14209,1400,5525,0.910308,0.720026,0.804063,0.215983
ir,0.7,0.5,6482,19734,13491,1047,6243,0.927982,0.683642,0.78729,0.161524
ir,0.7,0.55,6482,19734,12621,771,7113,0.942428,0.639556,0.762,0.118945
ir,0.7,0.6,6482,19734,11462,555,8272,0.953815,0.580825,0.721993,0.0856217
ir,0.7,0.65,6482,19734,9891,365,9843,0.964411,0.501216,0.65962,0.0563098
ir,0.7,0.7,6482,19734,8047,201,11687,0.97563,0.407773,0.575155,0.0310089
ir,0.7,0.75,6482,19734,6191,109,13543,0.982698,0.313723,0.475609,0.0168158
ir,0.7,0.8,6482,19734,3807,37,15927,0.990375,0.192916,0.322928,0.00570811
ir,0.7,0.85,6482,19734,804,1,18930,0.998758,0.0407419,0.0782901,0.000154273
ir,0.7,0.9,6482,19734,14,0,19720,1,0.000709435,0.00141787,0
ir,0.7,0.95,6482,19734,0,0,19734,,0,0,0
ir,0.7,0.99,6482,19734,0,0,19734,,0,0,0
ir,0.8,0.05,6482,19734,17561,29681,2173,0.371724,0.889885,0.524397,4.57899
ir,0.8,0.1,6482,19734,17131,17904,2603,0.488968,0.868096,0.625573,2.76211
ir,0.8,0.15,6482,19734,16772,12511,2962,0.572756,0.849904,0.684334,1.93011
ir,0.8,0.2,6482,19734,16434,9104,3300,0.643512,0.832776,0.726012,1.4045
ir,0.8,0.25,6482,19734,16081,6747,3653,0.704442,0.814888,0.755651,1.04088
ir,0.8,0.3,6482,19734,15736,5010,3998,0.758508,0.797405,0.77747,0.77291
ir,0.8,0.35,6482,19734,15292,3694,4442,0.805436,0.774906,0.789876,0.569886
ir,0.8,0.4,6482,19734,14805,2648,4929,0.848278,0.750228,0.796246,0.408516
ir,0.8,0.45,6482,19734,14231,1847,5503,0.885123,0.721141,0.794762,0.284943
ir,0.8,0.5,6482,19734,13504,1299,6230,0.912248,0.684301,0.782002,0.200401
ir,0.8,0.55,6482,19734,12631,882,7103,0.93473,0.640063,0.759828,0.136069
ir,0.8,0.6,6482,19734,11467,588,8267,0.951224,0.581078,0.721445,0.0907127
ir,0.8,0.65,6482,19734,9894,374,9840,0.963576,0.501368,0.659556,0.0576982
ir,0.8,0.7,6482,19734,8048,203,11686,0.975397,0.407824,0.575165,0.0313175
ir,0.8,0.75,6482,19734,6191,110,13543,0.982542,0.313723,0.475591,0.0169701
ir,0.8,0.8,6482,19734,3807,37,15927,0.990375,0.192916,0.322928,0.00570811
ir,0.8,0.85,6482,19734,804,1,18930,0.998758,0.0407419,0.0782901,0.000154273
ir,0.8,0.9,6482,19734,14,0,19720,1,0.000709435,0.00141787,0
ir,0.8,0.95,6482,19734,0,0,19734,,0,0,0
ir,0.8,0.99,6482,19734,0,0,19734,,0,0,0
