epoch,session,elapsed_s,epoch_s,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95,person_ap50,lr,fitness,ap50_person,ap50_two_wheeler,ap50_car,ap50_truck,ap50_cart
1,1,2268.5,2123.2,1.43002,0.945,1.01294,0.79467,0.5316,0.61392,0.38152,0.601413,0.00199935,0.38152,0.601413,0.52651,0.706355,0.621399,
2,1,4294.7,2026.2,1.42132,0.89908,1.00376,0.79156,0.54036,0.62217,0.38694,0.614261,0.00195155,0.38694,0.614261,0.531714,0.717946,0.62475,
3,1,6281.8,1987.1,1.40939,0.87936,0.99827,0.79868,0.54965,0.63265,0.39419,0.619314,0.00181093,0.39419,0.619314,0.548336,0.728698,0.634261,
4,1,8241,1959.1,1.39667,0.862,0.99301,0.8037,0.55705,0.63965,0.39972,0.625083,0.00159191,0.39972,0.625083,0.558251,0.733873,0.641397,
5,1,10206.3,1965.4,1.38188,0.8427,0.9879,0.80256,0.56506,0.64628,0.40467,0.631798,0.00131593,0.40467,0.631798,0.566719,0.739805,0.646802,
6,1,12158.1,1951.7,1.37052,0.82748,0.98161,0.80609,0.56752,0.64923,0.40727,0.633685,0.00101,0.40727,0.633685,0.570315,0.742284,0.650618,
7,1,14096.1,1938,1.35537,0.8117,0.97726,0.81078,0.56939,0.65311,0.41006,0.638532,0.000704073,0.41006,0.638532,0.573219,0.746018,0.654676,
8,1,15502,1405.9,1.3276,0.76806,0.96829,0.80839,0.56796,0.65128,0.40895,0.636484,0.000428093,0.40895,0.636484,0.572661,0.744381,0.651589,
9,1,16919.9,1417.9,1.31264,0.75281,0.96385,0.80783,0.56949,0.65123,0.4093,0.637075,0.000209073,0.4093,0.637075,0.572657,0.744991,0.650191,
10,1,18349.2,1429.3,1.30669,0.74479,0.96134,0.8072,0.56987,0.65152,0.40939,0.637201,6.8454e-05,0.40939,0.637201,0.573668,0.745388,0.649817,
